"IDENTIFIER","CONCEPT_CODE","DEFINITION","value","PUBLIC_ID"
"getNextPvId()","","","New","4285"
"getNextPvId()","","","Pending - Protocol Review","4285"
"getNextPvId()","","","Pending - For Distribution","4285"
"getNextPvId()","","","Pending - Specimen Preparation","4285"
"getNextPvId()","","","Rejected - Inappropriate Request","4285"
"getNextPvId()","","","Rejected - Specimen Unavailable","4285"
"getNextPvId()","","","Rejected - Unable to Create","4285"
"getNextPvId()","","","Distributed","4285"
"getNextPvId()","","","Distributed And Close","4285"
