"IDENTIFIER","CONCEPT_CODE","DEFINITION","value","PUBLIC_ID"
"getNextPvId()","","","Liquid Nitrogen Vapor","2003998"
"getNextPvId()","","","Liquid Nitrogen / Isopentane","2003998"
"getNextPvId()","","","Liquid Nitrogen","2003998"
"getNextPvId()","","","Dry Ice / Hydrocarbon Slurry","2003998"
"getNextPvId()","","","Not Specified","2003998"
"getNextPvId()","","","Aerosol Spray","2003998"
"getNextPvId()","","","Cryostat","2003998"
"getNextPvId()","","","Dry Ice","2003998"
"getNextPvId()","","","Cryobath","2003998"
